Ag Commodity Prices,,,,,,,,
scenario,region,subregion,sector,2010,2015,2020,2050,Units
BAU,USA,Georgia,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Georgia,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Georgia,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Georgia,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Georgia,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Georgia,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Georgia,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Idaho,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Idaho,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Idaho,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Idaho,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Idaho,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Idaho,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Idaho,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Illinois,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Illinois,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Illinois,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Illinois,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Illinois,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Illinois,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Illinois,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Indiana,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Indiana,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Indiana,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Indiana,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Indiana,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Indiana,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Indiana,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Iowa,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Iowa,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Iowa,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Iowa,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Iowa,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Iowa,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Iowa,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Kansas,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Kansas,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Kansas,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Kansas,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Kansas,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Kansas,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Kansas,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Kentucky,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Kentucky,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Kentucky,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Kentucky,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Kentucky,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Kentucky,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Kentucky,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Louisiana,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Louisiana,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Louisiana,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Louisiana,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Louisiana,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Louisiana,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Louisiana,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Maine,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Maine,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Maine,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Maine,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Maine,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Maine,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Maine,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Maryland,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Maryland,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Maryland,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Maryland,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Maryland,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Maryland,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Maryland,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Massachusetts,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Massachusetts,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Massachusetts,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Massachusetts,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Massachusetts,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Massachusetts,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Massachusetts,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Michigan,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Michigan,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Michigan,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Michigan,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Michigan,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Michigan,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Michigan,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Minnesota,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Minnesota,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Minnesota,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Minnesota,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Minnesota,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Minnesota,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Minnesota,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Mississippi,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Mississippi,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Mississippi,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Mississippi,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Mississippi,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Mississippi,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Mississippi,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Missouri,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Missouri,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Missouri,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Missouri,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Missouri,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Missouri,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Missouri,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Montana,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Montana,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Montana,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Montana,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Montana,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Montana,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Montana,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Nebraska,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Nebraska,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Nebraska,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Nebraska,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Nebraska,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Nebraska,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Nebraska,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Nevada,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Nevada,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Nevada,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Nevada,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Nevada,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Nevada,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Nevada,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,New Hampshire,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,New Hampshire,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,New Hampshire,other,1,1,1,1,Index (2010 = 1)
BAU,USA,New Hampshire,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,New Hampshire,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,New Hampshire,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,New Hampshire,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,New Jersey,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,New Jersey,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,New Jersey,other,1,1,1,1,Index (2010 = 1)
BAU,USA,New Jersey,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,New Jersey,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,New Jersey,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,New Jersey,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,New Mexico,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,New Mexico,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,New Mexico,other,1,1,1,1,Index (2010 = 1)
BAU,USA,New Mexico,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,New Mexico,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,New Mexico,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,New Mexico,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,New York,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,New York,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,New York,other,1,1,1,1,Index (2010 = 1)
BAU,USA,New York,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,New York,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,New York,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,New York,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,North Carolina,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,North Carolina,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,North Carolina,other,1,1,1,1,Index (2010 = 1)
BAU,USA,North Carolina,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,North Carolina,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,North Carolina,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,North Carolina,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,North Dakota,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,North Dakota,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,North Dakota,other,1,1,1,1,Index (2010 = 1)
BAU,USA,North Dakota,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,North Dakota,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,North Dakota,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,North Dakota,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Ohio,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Ohio,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Ohio,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Ohio,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Ohio,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Ohio,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Ohio,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Oklahoma,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Oklahoma,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Oklahoma,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Oklahoma,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Oklahoma,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Oklahoma,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Oklahoma,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Oregon,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Oregon,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Oregon,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Oregon,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Oregon,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Oregon,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Oregon,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Pennsylvania,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Pennsylvania,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Pennsylvania,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Pennsylvania,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Pennsylvania,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Pennsylvania,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Pennsylvania,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Rhode Island,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Rhode Island,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Rhode Island,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Rhode Island,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Rhode Island,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Rhode Island,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Rhode Island,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,South Carolina,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,South Carolina,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,South Carolina,other,1,1,1,1,Index (2010 = 1)
BAU,USA,South Carolina,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,South Carolina,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,South Carolina,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,South Carolina,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,South Dakota,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,South Dakota,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,South Dakota,other,1,1,1,1,Index (2010 = 1)
BAU,USA,South Dakota,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,South Dakota,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,South Dakota,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,South Dakota,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Tennessee,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Tennessee,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Tennessee,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Tennessee,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Tennessee,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Tennessee,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Tennessee,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Texas,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Texas,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Texas,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Texas,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Texas,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Texas,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Texas,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Utah,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Utah,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Utah,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Utah,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Utah,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Utah,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Utah,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Vermont,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Vermont,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Vermont,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Vermont,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Vermont,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Vermont,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Vermont,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Virginia,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Virginia,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Virginia,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Virginia,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Virginia,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Virginia,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Virginia,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Washington,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Washington,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Washington,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Washington,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Washington,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Washington,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Washington,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,West Virginia,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,West Virginia,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,West Virginia,other,1,1,1,1,Index (2010 = 1)
BAU,USA,West Virginia,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,West Virginia,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,West Virginia,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,West Virginia,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Wisconsin,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Wisconsin,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Wisconsin,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Wisconsin,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Wisconsin,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Wisconsin,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Wisconsin,vegfruit,1,1,1,1,Index (2010 = 1)
BAU,USA,Wyoming,sugar,1,1,1,1,Index (2010 = 1)
BAU,USA,Wyoming,grain,1,1,1,1,Index (2010 = 1)
BAU,USA,Wyoming,other,1,1,1,1,Index (2010 = 1)
BAU,USA,Wyoming,oilseed,1,1,1,1,Index (2010 = 1)
BAU,USA,Wyoming,pasture,1,1,1,1,Index (2010 = 1)
BAU,USA,Wyoming,cotton,1,1,1,1,Index (2010 = 1)
BAU,USA,Wyoming,vegfruit,1,1,1,1,Index (2010 = 1)
